"Id","Calories"
1503960366,56287
1624580081,45980
1644430081,84125
1844505072,48681
1927972279,67347
2022484408,77633
2026352035,47775
2320127002,53328
2347167796,36729
2873212765,59059
3372868164,38589
3977333714,45302
4020332650,73933
4057192912,7849
4319703577,61904
4388161847,94167
4445114986,67721
4558609924,63046
4702921684,91891
5553957443,58134
5577150313,100816
6117666160,60558
6290855005,75377
6775888955,55551
6962181067,61461
7007744171,66129
7086361926,79341
8053475328,91310
8253242879,33812
8378563200,106427
8583815059,79402
8792009665,56740
8877689391,105746
