"ActivityDate","Calories"
"2016-04-12",77121
"2016-04-13",74485
"2016-04-14",77804
"2016-04-15",77384
"2016-04-16",75881
"2016-04-17",70980
"2016-04-18",74647
"2016-04-19",75438
"2016-04-20",76658
"2016-04-21",74717
"2016-04-22",74152
"2016-04-23",76717
"2016-04-24",73308
"2016-04-25",75166
"2016-04-26",74608
"2016-04-27",74512
"2016-04-28",74129
"2016-04-29",72604
"2016-04-30",73598
"2016-05-01",66723
"2016-05-02",65074
"2016-05-03",69970
"2016-05-04",65697
"2016-05-05",69007
"2016-05-06",68919
"2016-05-07",64913
"2016-05-08",62186
"2016-05-09",62783
"2016-05-10",57886
"2016-05-11",52261
"2016-05-12",22822
