"Date","TotalSleepRecords","TotalMinutesAsleep","TotalTimeInBed"
"2016-04-12",16,5745,6236
"2016-04-13",22,6026,6606
"2016-04-14",14,5788,6243
"2016-04-15",19,7267,8098
"2016-04-16",19,5484,6062
"2016-04-17",15,5569,6110
"2016-04-18",13,4199,4559
"2016-04-19",16,5727,6322
"2016-04-20",16,6694,7151
"2016-04-21",15,5640,6140
"2016-04-22",13,5108,5558
"2016-04-23",16,6458,6963
"2016-04-24",16,6335,6959
"2016-04-25",13,5140,5618
"2016-04-26",15,5170,5613
"2016-04-27",14,5985,6588
"2016-04-28",16,6377,6909
"2016-04-29",15,5794,6253
"2016-04-30",17,6665,7421
"2016-05-01",18,6797,7833
"2016-05-02",15,5768,6394
"2016-05-03",13,4764,5288
"2016-05-04",13,5160,5578
"2016-05-05",14,4810,5273
"2016-05-06",14,4940,5459
"2016-05-07",17,5800,6308
"2016-05-08",16,6200,6791
"2016-05-09",11,4578,4869
"2016-05-10",12,4889,5355
"2016-05-11",11,4824,5099
"2016-05-12",8,3539,3762
