"Id","TotalSleepRecords","TotalMinutesAsleep","TotalTimeInBed"
1503960366,27,9007,9580
1644430081,4,1176,1384
1844505072,3,1956,2883
1927972279,8,2085,2189
2026352035,28,14173,15054
2320127002,1,61,69
2347167796,15,6702,7370
3977333714,32,8222,12912
4020332650,8,2795,3038
4319703577,27,12393,13051
4388161847,31,9675,10229
4445114986,39,10785,11671
4558609924,5,638,700
4702921684,30,11792,12375
5553957443,38,14368,15682
5577150313,27,11232,11976
6117666160,22,8618,9183
6775888955,3,1049,1107
6962181067,34,13888,14450
7007744171,2,137,143
7086361926,24,10875,11194
8053475328,3,891,905
8378563200,36,14187,15466
8792009665,15,6535,6807
