"ActivityDate","StepsByDate"
"2016-04-12",253871
"2016-04-13",227918
"2016-04-14",255136
"2016-04-15",246145
"2016-04-16",272132
"2016-04-17",202044
"2016-04-18",252238
"2016-04-19",257338
"2016-04-20",261079
"2016-04-21",250112
"2016-04-22",237723
"2016-04-23",267065
"2016-04-24",236591
"2016-04-25",253763
"2016-04-26",250648
"2016-04-27",258410
"2016-04-28",242904
"2016-04-29",233858
"2016-04-30",258669
"2016-05-01",205900
"2016-05-02",195646
"2016-05-03",236042
"2016-05-04",192271
"2016-05-05",242203
"2016-05-06",216955
"2016-05-07",206048
"2016-05-08",190255
"2016-05-09",221035
"2016-05-10",206533
"2016-05-11",178196
"2016-05-12",66628
