"Id","StepsById"
1503960366,374546
1624580081,177750
1644430081,217927
1844505072,79942
1927972279,28400
2022484408,351712
2026352035,172068
2320127002,146035
2347167796,171337
2873212765,234130
3372868164,137057
3977333714,328244
4020332650,68399
4057192912,15305
4319703577,209464
4388161847,319765
4445114986,148548
4558609924,237909
4702921684,265559
5553957443,266906
5577150313,248519
6117666160,185673
6290855005,163678
6775888955,65371
6962181067,303621
7007744171,294409
7086361926,287503
8053475328,457463
8253242879,122838
8378563200,269705
8583815059,176200
8792009665,53750
8877689391,495623
